IDCliente,Importecompra,Fechacompra,Categoria,Numerodeclicks,Fechadenacimiento,Codigopostalenvio,Tiemporealizacioncompra,Clienteexistente
2854,"376,974429236495",22/09/18,CPU,9,27/11/79,10849,45,NO
2039,"808,401652824665",13/10/16,CPU,15,03/06/86,12006,75,NO
4303,"620,526360466106",14/04/17,MONITOR,10,26/02/78,49621,50,NO
9678,"773,219907365512",18/11/20,CPU,18,30/06/98,13593,90,NO
1486,"730,227267382724",16/04/16,MEMORIA,9,17/08/77,50619,45,NO
8918,"859,55577952268",20/06/21,MEMORIA,17,08/05/79,39719,85,NO
5064,"176,718711501857",15/09/19,MONITOR,2,03/10/88,29007,10,NO
3304,"112,90515222659",01/09/17,MONITOR,7,06/10/85,48700,35,NO
9392,"223,721779725485",23/01/15,RATONES Y TECLADOS,10,11/07/72,15330,50,SI
2944,"635,372317913942",01/09/22,MEMORIA,1,30/07/75,21649,5,SI
7341,"929,59335112326",17/02/16,MEMORIA,14,23/04/74,38520,70,SI
7305,"722,720746162128",23/03/21,RATONES Y TECLADOS,19,08/09/04,19312,95,SI
4694,"84,1425327488684",07/03/22,MEMORIA,3,07/03/84,43748,15,SI
7187,"821,732653134701",30/09/16,ALMACENAMIENTO,19,04/09/92,32520,95,SI
3629,"465,493318677804",27/07/15,MEMORIA,2,17/01/80,9195,10,SI
8559,"844,587735503804",19/04/18,MEMORIA,11,14/10/76,32160,55,SI
1319,"264,150075103487",01/08/18,CPU,10,03/08/97,42312,50,SI
4676,"495,320122028486",10/01/21,ALMACENAMIENTO,13,19/03/74,44003,65,SI
1808,"696,271023903812",10/11/19,CPU,16,20/04/88,40293,80,SI
7953,"964,337884937664",22/12/19,RATONES Y TECLADOS,1,13/08/81,18600,5,SI
6517,"848,747973104967",28/07/16,RATONES Y TECLADOS,20,29/02/04,3749,100,
3342,"994,739573498398",28/10/21,MEMORIA,12,29/04/88,3296,60,NO
6782,"904,707830380796",17/07/17,CPU,4,29/07/98,22124,20,NO
4688,"750,283747715665",14/04/22,ALMACENAMIENTO,14,01/07/86,36770,70,NO
5566,"301,866180143022",26/06/22,ALMACENAMIENTO,2,09/08/99,50529,10,NO
8135,"29,4357707791142",22/12/19,MONITOR,19,15/10/89,43155,95,NO
6032,"351,011074078907",01/10/17,ALMACENAMIENTO,18,10/06/71,47129,90,NO
8907,"228,652316870662",10/10/15,RATONES Y TECLADOS,5,23/07/93,15884,25,NO
7711,"966,739413572643",14/05/17,CPU,6,18/11/80,36687,30,NO
1008,"369,504547656024",27/12/17,CPU,17,04/12/76,16371,85,NO
5782,"995,024919182371",16/12/17,MEMORIA,18,25/03/93,41218,90,NO
6748,"838,313442107185",25/01/18,MEMORIA,3,24/10/96,42165,15,NO
6443,"310,151466299821",17/06/19,MONITOR,15,11/08/97,17002,75,NO
2099,"983,006973326429",17/06/17,MONITOR,9,30/10/82,50366,45,NO
4811,"383,284160822622",09/12/17,RATONES Y TECLADOS,12,03/10/70,28035,60,NO
4419,"395,896922122726",12/03/20,MEMORIA,16,14/01/78,18494,80,NO
4196,"128,81728554778",30/11/17,MEMORIA,19,10/09/74,7750,95,NO
8998,"25,0584034634284",20/06/18,MEMORIA,17,22/07/94,35330,85,NO
7590,"616,453841705",17/02/15,ALMACENAMIENTO,6,13/01/79,40314,30,NO
8896,"689,87468874246",21/02/17,CPU,3,02/04/93,3689,15,NO
9279,"468,786535272454",20/11/16,MONITOR,19,15/02/88,24251,95,NO
8108,"303,472239620361",05/11/15,MEMORIA,12,19/04/81,11009,60,NO
6429,"912,10580259404",21/08/18,MONITOR,19,11/08/86,48190,95,NO
4212,"16,8449674123652",30/09/19,RATONES Y TECLADOS,1,29/10/74,14950,5,NO
7225,"251,134511039747",18/03/17,ALMACENAMIENTO,3,15/03/96,22540,15,NO
8752,"767,901423513912",03/01/22,MEMORIA,4,03/04/00,35188,20,NO
3987,"702,52262647758",18/12/20,RATONES Y TECLADOS,7,28/12/73,5134,35,NO
8862,"170,337693627366",07/07/22,CPU,16,22/12/81,1013,80,NO
7153,"584,200342840947",23/02/21,RATONES Y TECLADOS,3,16/07/98,20003,15,NO
4629,"207,301209368653",17/04/22,RATONES Y TECLADOS,4,11/08/05,41989,20,NO
4955,"876,868219585833",07/03/15,MEMORIA,17,29/02/84,3321,85,NO
5549,"199,321240402013",29/10/22,RATONES Y TECLADOS,3,26/06/84,3816,15,NO
9483,"755,679100704715",02/08/20,CPU,20,04/09/03,8698,100,NO
8865,"758,347934355822",14/07/18,MONITOR,17,13/04/73,9228,85,NO
3431,"664,254594942779",25/04/21,RATONES Y TECLADOS,13,08/05/90,8183,65,NO
6318,"439,280691543312",28/06/22,ALMACENAMIENTO,20,16/11/00,11012,100,NO
5475,"110,141149003443",22/07/21,MEMORIA,8,10/08/03,8905,40,NO
2595,"712,452043903569",06/05/18,ALMACENAMIENTO,14,09/07/89,45576,70,NO
5064,"792,503966922295",15/09/19,CPU,5,03/10/88,18380,25,NO
2381,"725,317790744685",19/04/19,CPU,1,17/11/81,14540,5,NO
6804,"905,980224871047",02/02/17,ALMACENAMIENTO,13,08/09/97,13118,65,NO
8686,"182,521643508575",11/06/15,MEMORIA,9,23/04/76,40152,45,NO
2360,"531,431008321452",23/01/17,MONITOR,12,05/10/99,18360,60,NO
7974,"13,0920049880869",30/06/15,MONITOR,14,13/01/99,43527,70,NO
7345,"943,816246803174",05/04/17,RATONES Y TECLADOS,6,07/07/93,30001,30,NO
3123,"274,149827718777",17/10/18,RATONES Y TECLADOS,10,05/01/79,12185,50,NO
1912,"333,577117116959",02/09/15,RATONES Y TECLADOS,19,30/01/77,9211,95,NO
2549,"830,048552970043",03/02/20,MONITOR,8,15/10/98,21130,40,NO
8329,"616,75098446117",28/11/21,MEMORIA,4,24/08/01,37542,20,NO
6949,"698,706237249559",22/01/18,MONITOR,20,03/01/96,41703,100,NO
5166,"959,011950719304",10/02/18,RATONES Y TECLADOS,8,26/10/76,36800,40,NO
5693,"536,509607424268",18/07/22,MEMORIA,12,02/12/82,6600,60,NO
7638,"879,159232709067",05/07/18,CPU,4,01/04/96,5358,20,NO
7636,"188,466880422162",27/09/16,RATONES Y TECLADOS,2,23/03/77,47494,10,NO
5956,"452,145683780915",03/07/17,MEMORIA,20,26/05/95,24567,100,NO
4497,"783,990721071875",13/11/17,MONITOR,8,12/08/82,8589,40,NO
9779,"538,984776217297",27/11/16,MONITOR,20,15/09/05,8018,100,NO
6394,"972,092759282181",29/06/16,MONITOR,11,16/04/05,13191,55,NO
6591,"139,977091386066",28/06/18,MONITOR,11,25/08/87,36618,55,NO
3908,"391,120361522631",06/09/16,RATONES Y TECLADOS,16,16/08/75,5122,80,NO
8746,"761,781913568007",17/09/16,ALMACENAMIENTO,10,25/01/92,14001,50,NO
9969,"812,425912345582",01/06/21,MEMORIA,2,22/12/02,15340,10,NO
3250,"614,116212128546",15/01/15,RATONES Y TECLADOS,17,19/11/91,10815,85,NO
7440,"827,731953413747",24/07/19,MONITOR,12,16/11/90,25240,60,NO
1785,"328,968955085157",06/01/20,MEMORIA,20,18/09/87,46132,100,NO
7515,"449,258267815633",10/06/15,ALMACENAMIENTO,3,14/02/02,5154,15,NO
2582,"99,4536861347376",02/12/21,CPU,3,08/03/86,15295,15,NO
8230,"761,628840877572",25/06/21,RATONES Y TECLADOS,17,01/10/05,33173,85,NO
2146,"893,334042329387",18/06/19,MEMORIA,5,06/07/92,49618,25,NO
8556,"983,287031726551",22/09/19,MONITOR,4,19/09/75,5134,20,NO
2473,"934,382378350037",19/10/20,MEMORIA,13,01/06/03,49696,65,NO
5964,"481,739681751117",21/08/18,MONITOR,18,03/09/72,49024,90,NO
9014,"983,67117540261",04/05/21,MONITOR,17,22/10/86,31750,85,NO
7698,"156,729615901607",06/01/22,RATONES Y TECLADOS,16,01/12/72,24294,80,NO
2176,"984,891707857374",26/01/20,RATONES Y TECLADOS,19,29/10/94,45571,95,NO
6209,"467,378909135166",12/05/15,MEMORIA,8,18/02/03,38869,40,NO
1506,"152,840940554747",19/09/18,MONITOR,13,06/04/75,15569,65,NO
1015,"829,971462321988",02/01/15,CPU,19,08/09/70,24218,95,NO
7913,"953,55037838792",30/03/21,RATONES Y TECLADOS,20,11/09/02,12184,100,NO
8263,"379,296608851524",06/05/15,MONITOR,7,15/11/70,22569,35,NO
2402,"764,915351110609",13/10/20,MONITOR,12,10/08/87,24253,60,NO
5015,"303,160420675648",13/08/17,ALMACENAMIENTO,14,04/11/81,8930,70,NO
4071,"71,0855117044705",27/09/21,MONITOR,5,19/05/89,31451,25,NO
9771,"318,826059960656",01/03/21,CPU,10,23/04/80,18327,50,NO
2113,"771,394456502397",11/03/19,CPU,8,30/06/95,6800,40,NO
4824,"485,382238220263",19/07/16,RATONES Y TECLADOS,16,22/04/99,33448,80,NO
5800,"184,012508663256",13/07/18,ALMACENAMIENTO,19,21/12/79,28006,95,NO
7210,"697,886357050736",06/05/22,ALMACENAMIENTO,15,24/03/86,20491,75,NO
3453,"284,654396066507",29/04/15,RATONES Y TECLADOS,3,24/03/76,22374,15,NO
7621,"656,021395053585",07/06/22,CPU,11,24/12/85,42190,55,NO
8053,"943,114657287014",07/02/20,RATONES Y TECLADOS,10,15/12/79,27540,50,NO
9776,"872,133514243788",30/09/19,RATONES Y TECLADOS,12,03/01/88,27120,60,NO
1950,"452,381362614931",05/03/15,MONITOR,17,07/03/79,31219,85,NO
5665,"253,205101965582",01/04/22,CPU,9,10/09/01,15555,45,NO
1482,"217,553576575656",19/07/18,MEMORIA,15,25/04/96,41350,75,NO
2752,"296,293205076859",30/08/21,MEMORIA,16,16/04/93,8980,80,NO
6264,"135,62720692107",28/01/15,RATONES Y TECLADOS,19,07/08/99,12311,95,NO
2812,"203,944555379115",21/04/22,ALMACENAMIENTO,3,10/01/78,27231,15,NO
5134,"359,753264759874",25/12/15,ALMACENAMIENTO,5,22/12/89,19262,25,NO
2918,"487,095111636296",23/12/19,RATONES Y TECLADOS,18,21/12/88,44423,90,NO
4737,"227,678987032836",19/11/19,RATONES Y TECLADOS,17,30/12/96,16780,85,NO
2058,"901,770882412086",16/03/15,ALMACENAMIENTO,13,14/04/02,30385,65,NO
3042,"783,706102222853",13/09/19,CPU,16,06/07/00,46178,80,NO
3687,"290,024365722589",14/08/20,MEMORIA,17,27/10/77,50220,85,NO
2164,"74,7941904669348",09/08/15,MONITOR,5,12/03/05,19128,25,NO
6875,"117,238354628527",09/10/21,MONITOR,19,22/12/85,24764,95,NO
8383,"97,3400230676736",15/10/16,MONITOR,18,28/06/84,15611,90,SI
5516,"173,046578393363",09/02/21,MONITOR,14,06/03/90,27347,70,
4298,"257,948859580456",14/07/18,MONITOR,8,27/03/83,43883,40,NO
9000,"313,039297568671",28/10/16,RATONES Y TECLADOS,19,18/02/74,41011,95,NO
9820,"101,911830761626",16/12/17,RATONES Y TECLADOS,15,27/07/77,38540,75,NO
2761,"627,066644083903",30/03/18,ALMACENAMIENTO,2,09/07/98,28191,10,NO
4485,"392,80968855058",07/11/17,MONITOR,8,28/11/76,29738,40,NO
9829,"323,005745237459",28/05/21,RATONES Y TECLADOS,10,15/03/82,17755,50,NO
9325,"35,2334922395455",03/04/17,RATONES Y TECLADOS,13,14/01/04,50009,65,NO
8632,"570,139032591702",12/11/19,MEMORIA,19,08/05/94,44311,95,NO
6556,"632,393568587231",15/06/21,RATONES Y TECLADOS,2,18/08/02,9259,10,NO
9063,"248,549271458133",17/08/20,CPU,1,08/12/92,25737,5,NO
7132,"689,887486308615",25/02/21,MONITOR,13,19/11/83,6005,65,NO
3073,"800,628411802461",26/02/22,CPU,15,14/08/76,42341,75,NO
8775,"300,944363598663",12/07/19,RATONES Y TECLADOS,15,03/03/88,8820,75,NO
8288,"625,839604429242",11/05/19,CPU,16,18/01/84,19491,80,NO
5995,"119,309545255996",17/05/21,CPU,3,04/08/75,13670,15,NO
1391,"300,287497317513",03/12/22,RATONES Y TECLADOS,16,15/06/05,7816,80,NO
3475,"248,979482976866",23/04/21,RATONES Y TECLADOS,1,18/02/71,19237,5,NO
9560,"327,344699090092",14/02/17,ALMACENAMIENTO,17,24/12/90,20110,85,NO
4670,"576,839887829845",29/03/22,MONITOR,3,13/01/99,23748,15,NO
9416,"413,143356600438",25/09/20,RATONES Y TECLADOS,20,24/09/80,45519,100,NO
7953,"930,497215651771",01/06/19,RATONES Y TECLADOS,3,13/08/81,50513,15,SI
1206,"590,126327708898",27/06/20,CPU,2,02/01/71,47461,10,NO
4255,"353,610227581159",27/04/22,CPU,19,08/08/85,14840,95,NO
7081,"383,337803513566",11/10/16,MONITOR,12,21/05/74,8760,60,NO
5779,"218,956104881955",03/09/19,MONITOR,19,28/12/81,25130,95,NO
5582,"739,553770892842",20/04/19,CPU,3,25/05/85,31754,15,NO
3959,"756,638045045205",26/09/15,RATONES Y TECLADOS,6,29/12/04,25242,30,NO
6738,"68,7039986362065",18/08/22,ALMACENAMIENTO,11,03/09/02,46594,55,NO
6097,"280,969265511852",15/08/21,RATONES Y TECLADOS,11,29/01/99,27639,55,NO
1471,"333,69942798626",02/01/19,ALMACENAMIENTO,5,01/03/85,45165,25,NO
1015,"545,803348640168",29/07/21,RATONES Y TECLADOS,12,08/09/70,40291,60,NO
6890,"944,927231298848",11/05/18,RATONES Y TECLADOS,6,02/05/89,47880,30,NO
9083,"983,828715213425",16/06/21,MONITOR,5,15/02/72,45517,25,NO
4905,"988,447415886706",24/04/16,MEMORIA,6,29/08/80,11519,30,NO
8757,"179,928722678568",24/06/15,RATONES Y TECLADOS,11,08/06/93,41600,55,NO
8874,"349,218158440196",12/12/15,CPU,8,28/08/90,43001,40,NO
9763,"447,126657704621",17/03/20,ALMACENAMIENTO,12,02/12/90,36570,60,NO
3358,"575,17004036629",10/08/21,CPU,,02/01/92,19268,,
6771,"458,729984933211",17/11/15,CPU,8,20/06/70,50135,40,NO
6991,"678,999884678963",30/12/21,ALMACENAMIENTO,2,04/04/00,44002,10,NO
3947,"94,4098256983402",15/04/18,CPU,14,15/09/77,6670,70,NO
5011,"161,954162282361",15/01/15,MEMORIA,17,08/05/70,31292,85,NO
5063,"239,0891257535",17/04/18,MONITOR,8,14/05/92,2249,40,NO
2324,"452,194179114869",21/05/15,MONITOR,3,15/06/78,9226,15,NO
5186,"121,279311825962",27/10/17,MEMORIA,14,06/07/92,15622,70,NO
8707,"513,498351583349",10/09/16,CPU,13,30/06/87,47230,65,NO
1887,"557,868419281841",13/09/15,ALMACENAMIENTO,11,23/01/03,17320,55,NO
5084,"857,53662168644",03/01/22,RATONES Y TECLADOS,12,02/07/03,19325,60,NO
7291,"110,460688017083",08/03/19,RATONES Y TECLADOS,12,21/12/80,9346,60,NO
7186,"375,008775853272",26/07/18,ALMACENAMIENTO,9,29/01/72,24470,45,NO
3049,"511,876381358612",19/10/16,MONITOR,1,17/09/89,28740,5,NO
5961,"634,135944502501",20/05/15,RATONES Y TECLADOS,8,25/04/80,24837,40,NO
8931,"786,254747650994",27/08/19,CPU,12,17/11/87,3170,60,NO
2700,"294,248268253856",12/12/18,MONITOR,14,03/06/74,19196,70,NO
1391,"47,6866730600035",21/05/17,RATONES Y TECLADOS,19,15/06/05,36911,95,NO
8492,"446,762183977275",27/05/21,MEMORIA,6,01/04/71,29713,30,NO
4303,"212,107964681684",09/12/19,RATONES Y TECLADOS,1,26/02/78,46960,5,NO
8158,"588,632739319537",02/11/15,MEMORIA,1,07/12/84,37216,5,NO
8633,"247,774583452162",28/07/15,RATONES Y TECLADOS,6,14/02/81,24720,30,NO
2437,"708,51362018955",11/01/18,ALMACENAMIENTO,10,29/03/00,36649,50,NO
5241,"678,550480983248",20/02/19,RATONES Y TECLADOS,7,03/12/89,39120,35,NO
3530,"329,273740200128",10/12/16,MONITOR,3,14/07/77,18412,15,NO
1112,"100,814410104466",09/02/17,ALMACENAMIENTO,12,12/12/01,47110,60,NO
6158,"337,487906109626",24/06/17,RATONES Y TECLADOS,17,21/10/00,6655,85,NO
2299,"650,995716164617",08/07/20,CPU,15,10/04/76,4260,75,NO
3647,"672,204724431516",23/06/19,CPU,5,20/04/90,44495,25,NO
3850,"961,789485775785",26/06/21,RATONES Y TECLADOS,2,17/05/96,18512,10,NO
9170,"330,424829488082",28/07/17,CPU,12,27/03/87,32730,60,NO
4723,"513,209614639807",16/07/16,ALMACENAMIENTO,11,08/07/98,25640,55,NO
2631,"927,018487298791",19/08/18,MEMORIA,12,04/06/03,44413,60,NO
8959,"304,305556479868",13/11/22,RATONES Y TECLADOS,5,04/03/79,16210,25,NO
8578,"561,976734713732",09/06/18,MEMORIA,11,21/05/87,40441,55,NO
9158,"971,38006212578",19/02/22,ALMACENAMIENTO,8,03/02/95,36544,40,NO
3559,"359,889060414946",05/05/18,MONITOR,17,18/10/95,37860,85,NO
4605,"17,1398982739105",17/09/15,ALMACENAMIENTO,15,11/08/05,9370,75,NO
5579,"275,687127874722",21/12/21,MEMORIA,1,28/10/00,38350,5,NO
8813,"356,130178679759",23/04/19,ALMACENAMIENTO,10,12/12/03,44157,50,NO
1090,"963,086196373251",27/05/18,ALMACENAMIENTO,12,25/03/82,42175,60,NO
9419,"705,652718320859",30/06/17,MONITOR,9,25/01/76,20120,45,NO
1663,"398,082850540955",09/07/17,MEMORIA,18,03/05/02,22364,90,NO
8318,"360,248686254917",07/04/21,MONITOR,4,11/04/91,36676,20,NO
6511,"170,457674486865",09/02/19,RATONES Y TECLADOS,4,26/09/74,20530,20,NO
5333,"565,223250476483",22/08/16,ALMACENAMIENTO,2,16/02/75,4250,10,NO
4747,"10,6251008307354",19/12/19,MEMORIA,19,23/11/91,36518,95,NO
4510,"894,474386421",05/04/16,CPU,11,25/12/96,48100,55,SI
5998,"239,094368886681",03/06/17,RATONES Y TECLADOS,15,20/11/82,38429,75,SI
5527,"357,785740266471",21/12/15,RATONES Y TECLADOS,1,30/03/79,31692,5,SI
6077,"800,751433640886",04/09/21,MONITOR,13,19/12/75,37419,65,SI
4240,"840,240225395398",25/12/16,RATONES Y TECLADOS,16,25/03/95,43771,80,SI
7414,"776,812413983856",21/09/21,ALMACENAMIENTO,6,01/03/99,28970,30,SI
1255,"33,6645882826649",14/10/16,MONITOR,13,28/11/94,34259,65,SI
8323,"619,481687649282",25/02/20,CPU,19,02/07/79,50293,95,SI
8725,"947,656014583484",08/07/15,ALMACENAMIENTO,8,25/11/73,28823,40,SI
1964,"264,049624596064",11/12/16,RATONES Y TECLADOS,2,03/10/85,31792,10,SI
1025,"962,907617148191",12/11/15,MONITOR,6,15/04/90,17772,30,SI
6064,"950,450477082434",22/05/16,CPU,10,02/03/79,24252,50,SI
6632,"69,3073968353931",28/11/20,MONITOR,18,08/05/75,6750,90,SI
8357,"534,629041400262",19/06/20,MEMORIA,6,19/06/78,33115,30,SI
7344,"888,207440440906",13/09/19,MEMORIA,11,14/12/94,28946,55,SI
9069,"898,296532177354",03/07/17,CPU,14,13/07/85,6980,70,SI
6237,"490,44842129268",03/05/21,MEMORIA,16,30/05/02,9219,80,SI
8932,"345,263243238054",09/10/15,MONITOR,16,18/01/95,11518,80,SI
2665,"480,971107656819",07/11/19,MEMORIA,14,15/04/87,33687,70,SI
5871,"541,304594504874",05/04/22,ALMACENAMIENTO,18,27/05/70,44557,90,SI
6176,"855,832114913041",17/01/17,ALMACENAMIENTO,4,07/03/95,46726,20,SI
4956,"846,462590445096",12/08/18,ALMACENAMIENTO,9,02/06/98,46200,45,SI
2483,"474,286063516976",15/08/21,MONITOR,13,19/06/80,31173,65,SI
6878,"653,984359745115",14/04/16,ALMACENAMIENTO,12,23/05/74,21208,60,NO
4011,"767,786764015914",29/07/18,ALMACENAMIENTO,3,24/01/94,9515,15,NO
8534,"79,2906474951794",11/02/16,ALMACENAMIENTO,15,18/12/86,15979,75,NO
5220,"25,5715316089937",29/05/20,CPU,18,30/04/01,25213,90,NO
2760,"534,027793416984",22/03/18,ALMACENAMIENTO,18,25/05/77,19184,90,NO
8986,"64,1455307328643",06/03/19,ALMACENAMIENTO,4,11/05/85,9614,20,NO
6948,"424,236565731989",01/08/21,MONITOR,18,17/11/03,10839,90,NO
3935,"976,032243874533",11/04/18,MONITOR,8,16/10/94,21580,40,NO
5386,"930,522042224145",20/08/22,RATONES Y TECLADOS,7,29/04/81,32170,35,NO
2402,"300,047599346093",28/10/20,ALMACENAMIENTO,17,10/08/87,14817,85,NO
2838,"104,869074638979",18/04/15,CPU,17,02/08/81,8474,85,NO
5899,"448,444741740413",04/07/19,CPU,12,02/06/87,40310,60,NO
9649,"328,393244929486",05/12/18,RATONES Y TECLADOS,19,01/10/97,33405,95,NO
5693,"138,392143844475",11/09/19,MONITOR,18,02/12/82,35625,90,NO
2587,"655,037373147499",13/03/15,RATONES Y TECLADOS,6,12/04/86,19325,30,NO
1292,"631,634868592919",17/02/17,RATONES Y TECLADOS,15,09/02/78,36969,75,NO
9495,"835,603594361951",27/04/20,MONITOR,11,10/08/84,9680,55,NO
2467,"816,869127461329",06/04/17,MEMORIA,19,14/06/96,28411,95,NO
1254,"818,900853797199",27/12/16,RATONES Y TECLADOS,8,03/09/83,31160,40,NO
8707,"853,124156317781",27/05/17,RATONES Y TECLADOS,10,30/06/87,17164,50,NO
3172,"875,497537654353",03/09/15,MEMORIA,3,11/07/94,33800,15,NO
2302,"174,372403533107",25/02/18,ALMACENAMIENTO,6,10/06/96,34127,30,NO
8676,"79,806866694541",16/08/15,MEMORIA,9,07/08/03,5198,45,NO
3698,"948,765694345231",30/06/22,RATONES Y TECLADOS,2,12/04/04,16541,10,NO
2206,"783,82799343851",25/08/15,MEMORIA,3,24/10/94,32135,15,NO
1818,"239,173301543775",01/02/20,MEMORIA,5,29/03/77,26124,25,NO
8098,"761,795656726781",18/11/19,MONITOR,19,10/04/02,24172,95,NO
2901,"368,299443207119",07/08/17,CPU,1,21/06/82,44491,5,NO
2976,"170,554570136972",29/09/17,ALMACENAMIENTO,9,14/02/80,15298,45,NO
5255,"942,005722013558",25/04/20,MEMORIA,13,04/12/94,12414,65,NO
5143,"660,96120166918",02/12/18,RATONES Y TECLADOS,2,28/05/98,19141,10,NO
9114,"923,990445314966",04/09/16,MEMORIA,5,18/02/92,1117,25,NO
3831,"309,579388657582",24/08/20,ALMACENAMIENTO,7,20/07/90,18100,35,NO
7818,"701,844077784933",03/07/22,RATONES Y TECLADOS,7,29/11/01,26585,35,NO
6385,"450,839561521244",30/12/19,MEMORIA,13,14/06/02,33842,65,NO
3746,"768,453789800538",26/12/16,MEMORIA,10,22/09/01,25318,50,NO
3751,"546,229917223243",09/08/20,MONITOR,12,27/06/79,19287,60,NO
5467,"828,94363906359",07/06/19,CPU,3,02/06/75,47173,15,NO
2172,"223,631343703855",15/10/20,RATONES Y TECLADOS,9,08/10/01,32664,45,NO
6212,"732,287055451592",07/11/22,MONITOR,18,02/04/95,43380,90,NO
3422,"540,065979261148",01/04/15,MEMORIA,12,20/05/70,46620,60,NO
3515,"152,367220453573",27/07/15,MEMORIA,8,18/09/00,9239,40,NO
7417,"731,47789616403",20/05/22,RATONES Y TECLADOS,3,29/07/87,2614,15,NO
5930,"97,2736639341073",20/05/20,CPU,13,30/12/02,36630,65,NO
3054,"442,729773988529",02/11/21,MEMORIA,10,09/04/00,21450,50,NO
9369,"575,789305429099",16/05/19,MEMORIA,5,02/06/78,25139,25,SI
7923,"682,04965433607",30/11/16,MONITOR,1,02/02/82,1002,5,NO
