"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"22","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,320,13769,8,1
"23","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,288,13770,8,1
"24","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,152,13771,8,1
"25","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,63,13772,8,1
"26","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,42,13773,8,1
"27","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,11,13774,8,1
"28","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,6,13775,8,1
"29","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,9,13776,8,1
"30","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,41,13777,8,1
"31","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,183,13778,8,1
"32","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,473,13779,8,1
"33","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,739,13780,8,1
"34","9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1045,343,13781,8,1
"35","10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0,181,13782,8,1
"36","11",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1045,226,13783,8,1
"37","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.1343,286,13784,8,1
"38","13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.2239,310,13785,8,1
"39","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1343,225,13786,8,1
"40","15",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.4627,270,13787,8,1
"41","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.194,406,13788,8,1
"42","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2537,865,13789,8,1
"43","18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2239,767,13790,8,1
"44","19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1642,607,13791,8,1
"45","20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7576,0.66,0,427,13792,8,1
"46","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2239,342,13793,8,1
"47","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,262,13794,8,1
"48","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2537,177,13795,8,1
"49","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,71,13796,8,1
"50","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,43,13797,8,1
"51","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,14,13798,8,1
"52","3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,6,13799,8,1
"53","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2537,12,13800,8,1
"54","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,37,13801,8,1
"55","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2239,163,13802,8,1
"56","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1045,421,13803,8,1
"57","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,668,13804,8,1
"58","9",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.1045,396,13805,8,1
"59","10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,249,13806,8,1
"60","11",FALSE,TRUE,"Misty",0.84,0.7879,0.49,0.2836,263,13807,8,1
"61","12",FALSE,TRUE,"Misty",0.86,0.8182,0.5,0.2985,338,13808,8,1
"62","13",FALSE,TRUE,"Misty",0.86,0.803,0.47,0.2836,345,13809,8,1
"63","14",FALSE,TRUE,"Misty",0.86,0.7879,0.44,0.2537,331,13810,8,1
"64","15",FALSE,TRUE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2537,380,13811,8,1
"65","16",FALSE,TRUE,"Misty",0.86,0.7879,0.41,0.2239,492,13812,8,1
"66","17",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2836,741,13813,8,1
"67","18",FALSE,TRUE,"Misty",0.82,0.803,0.59,0.2537,671,13814,8,1
"68","19",FALSE,TRUE,"Misty",0.8,0.7879,0.63,0.2239,469,13815,8,1
"69","20",FALSE,TRUE,"Misty",0.78,0.7576,0.66,0.2239,389,13816,8,1
"70","21",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.194,278,13817,8,1
"71","22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.7,0.2537,202,13818,8,1
"72","23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1343,196,13819,8,1
"73","0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1642,161,13820,8,1
"74","1",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.194,122,13821,8,1
"75","2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,84,13822,8,1
"76","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,30,13823,8,1
"77","4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.194,13,13824,8,1
"78","5",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,17,13825,8,1
"79","6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,49,13826,8,1
"80","7",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.77,0.1642,67,13827,8,1
"81","8",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7273,0.72,0.194,181,13828,8,1
"82","9",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.65,0.2239,278,13829,8,1
"83","10",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.57,0.194,396,13830,8,1
"84","11",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2537,470,13831,8,1
"85","12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.4,0.3582,547,13832,8,1
"86","13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2985,527,13833,8,1
"87","14",FALSE,FALSE,"Clear to partly cloudy",0.88,0.803,0.4,0.3881,472,13834,8,1
"88","15",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.4179,489,13835,8,1
"89","16",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.39,0.2985,450,13836,8,1
"90","17",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7879,0.37,0.2985,492,13837,8,1
"91","18",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.3284,490,13838,8,1
"92","19",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.3582,397,13839,8,1
"93","20",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2985,312,13840,8,1
"94","21",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2537,289,13841,8,1
"95","22",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2836,269,13842,8,1
"96","23",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2985,222,13843,8,1
"97","0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2836,153,13844,8,1
"98","1",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2537,87,13845,8,1
"99","2",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2985,73,13846,8,1
"100","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,41,13847,8,1
"101","4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,14,13848,8,1
"102","5",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,19,13849,8,1
"103","6",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.2537,19,13850,8,1
"104","7",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.2985,68,13851,8,1
"105","8",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.3284,108,13852,8,1
"106","9",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.3582,229,13853,8,1
"107","10",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.4179,364,13854,8,1
"108","11",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.4179,437,13855,8,1
"109","12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.5224,491,13856,8,1
"110","13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.44,0.4627,523,13857,8,1
"111","14",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8485,0.42,0.4627,526,13858,8,1
"112","15",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.5224,450,13859,8,1
"113","16",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,421,13860,8,1
"114","17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,382,13861,8,1
"115","18",FALSE,FALSE,"Light Precipitation",0.7,0.6667,0.74,0.1343,229,13862,8,1
"116","19",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,185,13863,8,1
"117","20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1045,193,13864,8,1
"118","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1045,208,13865,8,1
"119","22",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,157,13866,8,1
"120","23",FALSE,FALSE,"Misty",0.72,0.697,0.79,0.1642,87,13867,8,1
"121","0",FALSE,TRUE,"Misty",0.72,0.697,0.79,0,33,13868,8,1
"122","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,11,13869,8,1
"123","2",FALSE,TRUE,"Misty",0.72,0.697,0.79,0.1343,5,13870,8,1
"124","3",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.79,0.0896,5,13871,8,1
"125","4",FALSE,TRUE,"Misty",0.72,0.697,0.74,0.1343,11,13872,8,1
"126","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,25,13873,8,1
"127","6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.2239,141,13874,8,1
"128","7",FALSE,TRUE,"Light Precipitation",0.72,0.6818,0.7,0.194,407,13875,8,1
"129","8",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0,605,13876,8,1
"130","9",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.79,0.1642,276,13877,8,1
"131","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2239,213,13878,8,1
"132","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,260,13879,8,1
"133","12",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.0896,285,13880,8,1
"134","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,289,13881,8,1
"135","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0,287,13882,8,1
"136","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1343,274,13883,8,1
"137","16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.41,0.1045,451,13884,8,1
"138","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0,858,13885,8,1
"139","18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0.1343,843,13886,8,1
"140","19",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.194,640,13887,8,1
"141","20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,457,13888,8,1
"142","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,317,13889,8,1
"143","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.0896,207,13890,8,1
"144","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.194,113,13891,8,1
"145","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.194,47,13892,8,1
"146","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,18,13893,8,1
"147","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,13,13894,8,1
"148","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13895,8,1
"149","4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.1343,9,13896,8,1
"150","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,36,13897,8,1
"151","6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.194,179,13898,8,1
"152","7",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,502,13899,8,1
"153","8",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0.1642,705,13900,8,1
"154","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,327,13901,8,1
"155","10",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,250,13902,8,1
"156","11",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.0896,214,13903,8,1
"157","12",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.1343,283,13904,8,1
"158","13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,253,13905,8,1
"159","14",FALSE,TRUE,"Misty",0.82,0.7576,0.46,0,261,13906,8,1
"160","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0,306,13907,8,1
"161","16",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.2836,445,13908,8,1
"162","17",FALSE,TRUE,"Misty",0.78,0.7424,0.62,0.1343,868,13909,8,1
"163","18",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1642,814,13910,8,1
"164","19",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.1045,610,13911,8,1
"165","20",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,448,13912,8,1
"166","21",FALSE,TRUE,"Misty",0.72,0.697,0.74,0,317,13913,8,1
"167","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,224,13914,8,1
"168","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,138,13915,8,1
"169","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,58,13916,8,1
"170","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,23,13917,8,1
"171","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13918,8,1
"172","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13919,8,1
"173","4",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13920,8,1
"174","5",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.1642,43,13921,8,1
"175","6",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,173,13922,8,1
"176","7",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,482,13923,8,1
"177","8",FALSE,TRUE,"Misty",0.74,0.7273,0.72,0.0896,737,13924,8,1
"178","9",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0,341,13925,8,1
"179","10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1343,214,13926,8,1
"180","11",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,239,13927,8,1
"181","12",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,280,13928,8,1
"182","13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,313,13929,8,1
"183","14",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.2537,236,13930,8,1
"184","15",FALSE,TRUE,"Misty",0.84,0.7576,0.44,0.194,278,13931,8,1
"185","16",FALSE,TRUE,"Misty",0.8,0.7424,0.49,0.2836,441,13932,8,1
"186","17",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.2836,858,13933,8,1
"187","18",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.1642,862,13934,8,1
"188","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2239,686,13935,8,1
"189","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.194,500,13936,8,1
"190","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,381,13937,8,1
"191","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,233,13938,8,1
"192","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,136,13939,8,1
"193","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.194,67,13940,8,1
"194","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,28,13941,8,1
"195","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.0896,14,13942,8,1
"196","3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.0896,6,13943,8,1
"197","4",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.1343,10,13944,8,1
"198","5",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0,41,13945,8,1
"199","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,167,13946,8,1
"200","7",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,475,13947,8,1
"201","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,698,13948,8,1
"202","9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,353,13949,8,1
"203","10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2239,205,13950,8,1
"204","11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0,260,13951,8,1
"205","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.1045,277,13952,8,1
"206","13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1045,281,13953,8,1
"207","14",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2239,247,13954,8,1
"208","15",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2239,267,13955,8,1
"209","16",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2537,417,13956,8,1
"210","17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.36,0.2537,810,13957,8,1
"211","18",FALSE,TRUE,"Misty",0.82,0.7576,0.46,0.2537,811,13958,8,1
"212","19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,623,13959,8,1
"213","20",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.54,0.2836,478,13960,8,1
"214","21",FALSE,TRUE,"Misty",0.7,0.6515,0.58,0.1642,336,13961,8,1
"215","22",FALSE,TRUE,"Misty",0.66,0.6212,0.69,0.2239,259,13962,8,1
"216","23",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0,156,13963,8,1
"217","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.0896,85,13964,8,1
"218","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.65,0.1045,41,13965,8,1
"219","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,20,13966,8,1
"220","3",FALSE,TRUE,"Misty",0.72,0.697,0.79,0.194,9,13967,8,1
"221","4",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.2836,7,13968,8,1
"222","5",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.2836,33,13969,8,1
"223","6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.2985,44,13970,8,1
"224","7",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.1045,133,13971,8,1
"225","8",FALSE,TRUE,"Light Precipitation",0.62,0.5455,0.91,0.1642,119,13972,8,1
"226","9",FALSE,TRUE,"Misty",0.64,0.5758,0.89,0,220,13973,8,1
"227","10",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1045,193,13974,8,1
"228","11",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.79,0.1343,251,13975,8,1
"229","12",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.3582,315,13976,8,1
"230","13",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.3582,290,13977,8,1
"231","14",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.3582,307,13978,8,1
"232","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.4478,324,13979,8,1
"233","16",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7273,0.55,0.2985,467,13980,8,1
"234","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.2836,730,13981,8,1
"235","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2985,640,13982,8,1
"236","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2836,492,13983,8,1
"237","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2985,370,13984,8,1
"238","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,286,13985,8,1
"239","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.2836,218,13986,8,1
"240","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2836,192,13987,8,1
"241","0",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.2836,180,13988,8,1
"242","1",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.2239,116,13989,8,1
"243","2",FALSE,FALSE,"Light Precipitation",0.64,0.5909,0.78,0.194,85,13990,8,1
"244","3",FALSE,FALSE,"Light Precipitation",0.62,0.5758,0.83,0.1642,21,13991,8,1
"245","4",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5758,0.83,0.1045,10,13992,8,1
"246","5",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5606,0.88,0.1045,11,13993,8,1
"247","6",FALSE,FALSE,"Misty",0.62,0.5606,0.88,0.1045,23,13994,8,1
"248","7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.5758,0.83,0.0896,62,13995,8,1
"249","8",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,162,13996,8,1
"250","9",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,271,13997,8,1
"251","10",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.62,0.0896,407,13998,8,1
"252","11",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,499,13999,8,1
"253","12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2239,546,14000,8,1
"254","13",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.3582,569,14001,8,1
"255","14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2985,538,14002,8,1
"256","15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.2836,562,14003,8,1
"257","16",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.2985,531,14004,8,1
"258","17",FALSE,FALSE,"Light Precipitation",0.74,0.697,0.66,0.3582,512,14005,8,1
"259","18",FALSE,FALSE,"Misty",0.7,0.6667,0.74,0.2985,300,14006,8,1
"260","19",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1045,275,14007,8,1
"261","20",FALSE,FALSE,"Light Precipitation",0.66,0.5909,0.89,0.4179,160,14008,8,1
"262","21",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1642,128,14009,8,1
"263","22",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1642,168,14010,8,1
"264","23",FALSE,FALSE,"Light Precipitation",0.66,0.6061,0.78,0.1642,163,14011,8,1
"265","0",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1343,120,14012,8,1
"266","1",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.1343,113,14013,8,1
"267","2",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1343,86,14014,8,1
"268","3",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.73,0.0896,48,14015,8,1
"269","4",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.0896,10,14016,8,1
"270","5",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6212,0.61,0.194,10,14017,8,1
